name,A11-28F,A12-28F,A13-28F,A14-28F,A15-28F,A16-28F,A21-28F,A22-28F,A23-28F,A24-28F,A25-28F,A26-28F,B11-28F,B12-28F,B13-28F,B14-28F,B15-28F,B21-28F,B22-28F,B23-28F,B24-28F,B25-28F,C11-28F,C12-28F,C13-28F,C21-28F,C22-28F,C23-28F,D11-28F,D12-28F,D13-28F,D14-28F,D21-28F,D22-28F
Sharpea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides::Bacteroides,12,3,1,1,1,0,3,3,11,2,9,2,16,4,4,6,8,2,2,1,0,9,0,0,1,3,0,3,1,1,0,2,2,1
Johnsonella,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Butyricicoccus,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,1,1,0,14,1,0,0,0,0,0,1,0,1,0,0
Paludibacter,0,2,0,2,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1
Blautia,18,18,2,9,259,4,12,2,39,5,4,3,13,32,29,7,7,61,38,29,1,8,23,2,32,19,1,11,130,74,76,110,18,123
Ruminococcus::Clostridium,4,1,0,0,5,0,2,0,2,0,0,3,0,2,0,0,1,1,0,1,0,0,2,1,2,0,3,2,2,6,0,2,0,0
Bryantella,6,3,0,0,187,2,4,3,0,0,2,3,3,0,1,5,2,0,1,6,3,4,3,1,15,13,11,3,2,4,8,0,0,11
Desulfovibrio,0,12,0,1,8,0,0,1,0,0,0,0,0,1,2,5,2,0,0,37,0,0,0,0,0,0,0,3,0,2,0,0,2,0
Alkalitalea::Tannerella,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5
Bacteroides::Alistipes,0,0,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,2,0,2,1,2,0,2,0,1,1,0,0,1
TM7 (genus),1,6,5,0,2,0,0,9,1,0,1,0,0,1,1,1,5,0,1,0,0,0,0,3,0,6,0,7,3,0,1,5,1,0
Escherichia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Ruminococcus,4,0,0,0,14,0,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,9,4,4,8,8,1,2,0,0
Clostridium::Desulfotomaculum,0,3,0,0,12,0,3,0,3,0,0,0,0,2,3,0,0,4,1,2,2,0,1,0,0,0,0,3,0,4,0,0,0,11
Blautia::Ruminococcus,2,2,0,1,8,0,0,0,1,0,1,0,1,4,1,0,0,1,5,2,0,0,1,2,0,1,2,1,0,9,2,11,7,0
Bacillus,0,16,0,1,1,1,8,2,61,4,7,0,9,3,3,0,17,2,4,0,0,2,10,0,9,35,2,17,7,5,4,1,6,10
Ruminofilibacter,8,0,1,2,0,0,0,0,0,1,2,2,1,0,1,4,0,9,17,0,10,2,0,2,2,0,1,0,2,1,3,7,6,12
Anaerotruncus,1,2,1,0,9,1,0,0,8,1,4,2,2,1,7,0,2,1,0,0,0,0,4,5,0,0,0,0,3,2,0,1,0,0
Candidatus Arthromitus,0,36,46,18,19,20,7,191,188,31,0,2,0,0,0,5,0,0,0,0,3,0,52,0,0,3,0,0,1,0,0,0,0,5
Oribacterium,3,14,2,2,12,11,0,0,152,0,0,0,0,1,3,1,7,1,3,0,0,0,27,2,1,1,0,0,3,0,4,16,0,0
Anaeroplasma,35,10,0,0,0,0,1,0,44,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
Bilophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus::Lactococcus,5,0,0,0,9,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sporanaerobacter,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,6,2,0,0
Ethanoligenens,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Butyricimonas,2,0,2,1,2,0,0,0,4,1,0,1,1,1,0,2,4,0,1,0,1,0,2,1,0,1,2,0,0,3,1,1,1,0
Adlercreutzia,1,1,1,0,2,3,0,0,2,1,2,1,0,0,3,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,0
Clostridium::Coprococcus,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Catonella,13,2,0,0,73,0,0,0,0,0,3,0,0,5,4,1,19,5,0,1,0,0,2,0,0,1,4,1,8,1,2,6,1,0
Denitrobacterium,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lachnobacterium,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1
Enterorhabdus,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0
Pseudomonas,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Rikenella,5,5,24,10,124,22,5,22,16,13,23,0,0,3,0,28,27,1,2,1,1,2,5,19,2,1,11,15,10,3,1,6,4,0
Desulfotomaculum,0,2,0,0,12,2,1,1,5,0,0,0,1,1,0,0,4,0,0,1,0,2,2,0,0,1,0,1,0,5,0,0,1,0
Catabacter::Ruminococcus,0,1,0,2,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Desulfitobacterium,0,1,0,0,4,3,0,0,2,1,0,0,3,6,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,11,0,1,0,0
Clostridium::Anaerostipes,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Rhodospirillum,0,0,0,0,2,0,0,18,0,0,2,11,14,0,0,37,5,1,0,0,1,3,0,0,0,0,4,2,4,0,1,0,0,0
Clostridium::Roseburia::Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alkaliphilus,1,2,0,0,12,0,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,6,2,0,2,5,0,0,1,0,0,0
Sporobacter,3,0,0,0,17,0,0,1,31,1,1,0,2,1,0,0,2,1,0,0,0,0,1,0,0,4,0,3,1,3,0,0,0,1
Tindallia,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Treponema,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,5
Gelidibacter,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0
Clostridium::Roseburia,0,2,0,6,0,0,0,0,19,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Clostridium::Blautia,0,0,0,0,1,0,3,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Anaerostipes::Blautia,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halanaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Streptomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
Terasakiella,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cytophaga,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Limibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Pseudoflavonifractor::Clostridium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fluviicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfuromonas,0,0,2,1,0,0,0,0,0,1,1,0,1,0,1,1,2,1,5,2,0,1,0,0,0,1,1,1,0,1,0,0,0,2
Dorea,0,0,1,4,9,4,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,2,0,2,0,1,0,1,1,1,0,0
Butyrivibrio::Eubacterium,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas::Prevotella,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Desulfocurvus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clostridium::Dorea,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Eubacterium::Sporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Parasporobacterium,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0
Eubacterium::Clostridium,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lachnospira,17,13,0,0,90,0,0,6,0,0,0,0,0,0,0,5,9,1,1,0,1,0,0,0,0,0,0,2,2,1,0,4,1,0
Anaerotruncus::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mucispirillum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,5,7,0,0,0,0,0,0,0,10,0,0,0,0
Clostridium (Erysipelotrichaceae),3,0,0,0,10,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium::Roseburia,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anaerotruncus::Ruminococcus,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Sphingobium,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Anaerovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium::Ruminococcus,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
Desulfonispora,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium::Blautia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dokdonia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
Blautia::Lachnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catabacter,0,4,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Caminicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Clostridium::Ruminococcus::Parabacteroides,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysgonomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Desulfotomaculum::Clostridium,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia::Asaccharobacter,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Acetitomaculum,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides::Tannerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Flexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Syntrophomonas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraeggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Butyrivibrio::Clostridium,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pseudobutyrivibrio,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia::Ruminococcus::Coprococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteroides::Parabacteroides,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia::Clostridium::Dorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Phytoplasma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactonifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anaerostipes::Clostridium,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Robinsoniella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Coprobacillus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Anaerotruncus,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subdoligranulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Clostridium::Roseburia::Blautia,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Blautia::Clostridium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Herbaspirillum,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerophaga,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira::Catonella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leifsonia,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxobacter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium::Anaerosporobacter,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tindallia::Clostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
Roseburia::Eubacterium,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Escherichia,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus::Ruminococcus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacter::Oscillospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Atopobium,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gracilibacter,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marinilabilia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella::Enterobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pseudobutyrivibrio::Butyrivibrio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
